id,ra_deg,dec_deg,magnitude,names
star/j052812-204536,82.049995,-20.76,2.81,
star/j163600-281312,249.0,-28.22,2.82,
star/j182812-252512,277.05,-25.42,2.82,
star/j080748-241800,121.950005,-24.3,2.83,
star/algenib,3.3,15.18,2.83,Algenib
star/j035400+315248,58.5,31.88,2.84,
star/j155512-632548,238.8,-63.43,2.84,
star/j172512-553148,261.3,-55.53,2.84,
star/j173148-495248,262.95,-49.88,2.84,
star/vindemiatrix,195.6,10.96,2.85,Vindemiatrix
star/alcyone,56.85,24.11,2.85,Alcyone
star/j073448+315324,113.7,31.89,2.85,
star/j194500+450748,296.25,45.13,2.86,
star/j015848-613412,29.7,-61.57,2.86,
star/j062248+223036,95.700005,22.51,2.87,
star/j151912-684048,229.79999,-68.68,2.87,
star/j214648-160748,326.7,-16.13,2.87,
star/j221836-601536,334.65,-60.26,2.87,
star/j190936-210112,287.4,-21.02,2.88,
star/j025812-401800,44.55,-40.3,2.88,
star/j155848-260636,239.7,-26.11,2.89,
star/j125548+381912,193.95001,38.32,2.89,
star/j072700+081724,111.75,8.29,2.89,
star/j213148-053412,322.95,-5.57,2.9,
star/j162100-253524,245.25,-25.59,2.9,
star/j035736+400036,59.4,40.01,2.9,
star/j030448+533036,46.199997,53.51,2.91,
star/j164124+313600,250.35,31.6,2.91,
star/j094724-650412,146.85,-65.07,2.92,
star/j224312+301312,340.8,30.22,2.93,
star/j064948-503636,102.45,-50.61,2.94,
star/j123000-163112,187.5,-16.52,2.94,
star/j220600-001912,331.5,-0.32,2.95,
star/j035812-133036,59.55,-13.51,2.97,
star/j053748+210824,84.450005,21.14,2.97,
star/j094536+234612,146.40001,23.77,2.97,
star/j180600-302512,271.5,-30.42,2.98,
star/j131912-231012,199.79999,-23.17,2.99,
star/j190524+135136,286.35,13.86,2.99,
star/j174724-400748,266.85,-40.13,2.99,
star/j020936+345924,32.4,34.99,3.0,
star/j215400-372136,328.5,-37.36,3.0,
star/j152100+714948,230.25,71.83,3.0,
star/j165136-380300,252.90001,-38.05,3.0,
star/j110936+443000,167.4,44.5,3.0,
star/j034312+474724,55.8,47.79,3.01,
star/j171012-154348,257.55,-15.73,3.02,
star/j070300-234948,105.75,-23.83,3.02,
star/j062024-300336,95.100006,-30.06,3.02,
star/j121012-223712,182.55,-22.62,3.02,
star/j050148+434912,75.450005,43.82,3.03,
star/j143148+381836,217.95,38.31,3.04,
star/j124612-680636,191.55,-68.11,3.04,
star/j202100-144648,305.25,-14.78,3.05,
star/j193036+275736,292.65,27.96,3.05,
star/j064348+250748,100.95,25.13,3.06,
star/j102212+413000,155.55,41.5,3.06,
star/j191236+673936,288.15,67.66,3.07,
star/j181724-364536,274.35,-36.76,3.1,
star/j113600-630112,174.0,-63.02,3.11,
star/j085512+055700,133.8,5.95,3.11,
star/j203748-471724,309.44998,-47.29,3.11,
star/j104948-161124,162.45,-16.19,3.11,
star/j165848-555924,254.7,-55.99,3.12,
star/j055100-354612,87.75,-35.77,3.12,
star/j145924-420600,224.84999,-42.1,3.13,
star/j171500+245024,258.75,24.84,3.14,
star/j092100+342324,140.25,34.39,3.14,
star/j085924+480224,134.84999,48.04,3.14,
star/j171500+364836,258.75,36.81,3.16,
star/j093112-570148,142.8,-57.03,3.16,
star/j170900+654236,257.25,65.71,3.17,
star/j093300+514048,143.25,51.68,3.17,
star/j184536-265924,281.4,-26.99,3.17,
star/j063748-431200,99.450005,-43.2,3.17,
star/j050636+411348,76.65,41.23,3.18,
star/j050524-222212,76.350006,-22.37,3.19,
star/j174948-370224,267.45,-37.04,3.19,
star/j144236-645812,220.65,-64.97,3.19,
