id,ra_deg,dec_deg,magnitude,names
star/j122024+031836,185.1,3.31,4.97,
star/j142812-292924,217.05,-29.49,4.97,
star/j042024+272100,65.100006,27.35,4.97,
star/j055512-370712,88.8,-37.12,4.97,
star/j014236-034124,25.650002,-3.69,4.98,
star/j020936+255624,32.4,25.94,4.98,
star/j131012+173148,197.55,17.53,4.98,
star/j192024-052512,290.1,-5.42,4.98,
star/j074012-151536,115.05,-15.26,4.98,
star/j053524-052324,83.850006,-5.39,4.98,
star/j195548+585100,298.95,58.85,4.98,
star/j114948-701348,177.45,-70.23,4.98,
star/j122700+264948,186.75,26.83,4.98,
star/j025848-640412,44.7,-64.07,4.98,
star/j132812+134648,202.05,13.78,4.98,
star/j160112+295100,240.3,29.85,4.98,
star/j185624+041200-2,284.1,4.2,4.98,
star/j084012-122848,130.05,-12.48,4.98,
star/j153148+405400,232.95,40.9,4.98,
star/j182400+584800,276.0,58.8,4.98,
star/j053524-052512,83.850006,-5.42,4.98,
star/j110036+060600,165.15001,6.1,4.98,
star/j231912-093636,349.8,-9.61,4.99,
star/j185512-224012,283.8,-22.67,4.99,
star/j052248+033224,80.700005,3.54,4.99,
star/j081312-154724,123.3,-15.79,4.99,
star/j065100+414648,102.75,41.78,4.99,
star/j072548+091648,111.45,9.28,4.99,
star/j065100-342212,102.75,-34.37,4.99,
star/j192400+293712,291.0,29.62,4.99,
star/j121648+330336,184.2,33.06,4.99,
star/j194612+334348,296.55002,33.73,4.99,
star/j090600+050524,136.5,5.09,4.99,
star/j200412-320336,301.05,-32.06,4.99,
star/j070300-041424,105.75,-4.24,4.99,
star/j000448-103036,1.1999999,-10.51,4.99,
star/j112248+432848,170.7,43.48,4.99,
star/j035700+610636,59.25,61.11,4.99,
star/j225624+494348,344.1,49.73,4.99,
star/j034200-315624,55.5,-31.94,4.99,
star/j011536-685248,18.9,-68.88,4.99,
star/j220824-340224,332.09998,-34.04,4.99,
star/j134200-543336,205.5,-54.56,4.99,
star/j141200+022436,213.0,2.41,4.99,
star/j043900-120712,69.75,-12.12,4.99,
star/j032812+490336,52.05,49.06,4.99,
star/j020224+542924,30.599998,54.49,4.99,
star/j091048-445212,137.70001,-44.87,4.99,
star/j093148+111800,142.95,11.3,4.99,
star/j052436+172248,81.149994,17.38,4.99,
star/j155924-414424,239.84999,-41.74,4.99,
star/j190636-370336-2,286.65002,-37.06,5.0,
star/j191348+574236,288.44998,57.71,5.0,
star/j050636+513600,76.65,51.6,5.0,
star/j093712+065024,144.3,6.84,5.0,
star/j061536-134312,93.9,-13.72,5.0,
star/j235736-641800,359.4,-64.3,5.0,
star/j065624-140224,104.1,-14.04,5.0,
star/j060748-371500,91.950005,-37.25,5.0,
star/j084424-544236,131.09999,-54.71,5.0,
star/j152212-475548,230.55,-47.93,5.0,
star/j193448+194612,293.7,19.77,5.0,
star/j071836+492736,109.65,49.46,5.0,
star/j160748+170300,241.94998,17.05,5.0,
star/j114348-622924,175.95,-62.49,5.0,
star/j190112+465624,285.30002,46.94,5.0,
star/j153112+772100,232.8,77.35,5.0,
star/j180712+432736,271.80002,43.46,5.0,
star/j112324-360936,170.85,-36.16,5.0,
star/j160412-112212-2,241.04999,-11.37,5.0,
star/j040412+590936,61.050003,59.16,5.0,
star/j175848-301500,269.69998,-30.25,5.0,
star/j061124-653524,92.85,-65.59,5.01,
star/j061800+613112,94.5,61.52,5.01,
star/j195812-152924,299.55,-15.49,5.01,
star/j073000+275512,112.5,27.92,5.01,
star/j172024+180336,260.1,18.06,5.01,
star/j194912+190824,297.3,19.14,5.01,
star/j093412-511536,143.54999,-51.26,5.01,
star/j122548+390112,186.45001,39.02,5.01,
star/j121912-550824,184.79999,-55.14,5.01,
star/j123000+691200,187.5,69.2,5.01,
star/j001012+460412,2.55,46.07,5.01,
star/j104312+690448,160.8,69.08,5.01,
star/j113936-652400,174.9,-65.4,5.01,
star/j002812+175324,7.05,17.89,5.01,
star/j083448-495624,128.7,-49.94,5.01,
star/j013936+442324,24.9,44.39,5.01,
star/j093300-210712,143.25,-21.12,5.01,
star/j050224-261612,75.6,-26.27,5.01,
star/j051536+324124,78.9,32.69,5.01,
star/j151648+714912,229.2,71.82,5.02,
star/j105548+333036,163.95001,33.51,5.02,
star/j052436+372324,81.149994,37.39,5.02,
star/j174912+765736,267.3,76.96,5.02,
star/j042848+130300,67.2,13.05,5.02,
star/j174912+504648,267.3,50.78,5.02,
star/j103300-470000,158.25,-47.0,5.02,
star/j145248-374800,223.2,-37.8,5.02,
star/j214800-305400,327.0,-30.9,5.02,
star/j182136+490712,275.40002,49.12,5.02,
star/j184500+020336,281.25,2.06,5.02,
star/j192512-243036,291.3,-24.51,5.02,
star/j135624+272924,209.09999,27.49,5.02,
star/j185736-203936,284.4,-20.66,5.02,
star/j170148-320824,255.45001,-32.14,5.03,
star/j020636+223900,31.649998,22.65,5.03,
star/j193036-024724,292.65,-2.79,5.03,
star/j195024+525924,297.6,52.99,5.03,
star/j181348+642400,273.44998,64.4,5.03,
star/j205436+280336,313.65,28.06,5.03,
star/j165136+243936,252.90001,24.66,5.03,
star/j123524+182248,188.85,18.38,5.03,
star/j082924-444312,127.35,-44.72,5.03,
star/j045024-161312,72.600006,-16.22,5.03,
star/j141500-570524,213.75,-57.09,5.03,
star/j060300-261648,90.75,-26.28,5.03,
star/j134124-084200,205.34999,-8.7,5.03,
star/j184236+553224,280.65,55.54,5.03,
star/j192248-542512,290.69998,-54.42,5.03,
star/j171836+105136,259.65,10.86,5.03,
star/j071648-363524,109.200005,-36.59,5.03,
star/j074612-143336,116.55,-14.56,5.03,
star/j014612-533112,26.55,-53.52,5.04,
star/j031612+505624,49.05,50.94,5.04,
star/j060712-620900,91.799995,-62.15,5.04,
star/j055848-093336,89.7,-9.56,5.04,
star/j155324-201012,238.35,-20.17,5.04,
star/j064312+443112,100.799995,44.52,5.04,
star/j120448-763112,181.2,-76.52,5.04,
star/j215924+731048,329.85,73.18,5.04,
star/j010748+435624,16.95,43.94,5.04,
star/j223748-041348,339.44998,-4.23,5.04,
star/j153112+404948,232.8,40.83,5.04,
star/j131200-161200,198.0,-16.2,5.04,
star/j073936+174012,114.899994,17.67,5.04,
star/j151648-605736,229.2,-60.96,5.04,
star/j061612+121612,94.05,12.27,5.04,
star/j132512-745324,201.3,-74.89,5.04,
star/j213712+402436,324.30002,40.41,5.04,
star/j211836+435700,319.65,43.95,5.04,
star/j000224-294312,0.59999996,-29.72,5.04,
star/j132924-511012,202.34999,-51.17,5.04,
star/j151912+014612,229.79999,1.77,5.04,
star/j080636-451612,121.649994,-45.27,5.04,
star/j072324+250300,110.85,25.05,5.04,
star/j074048+870112,115.2,87.02,5.05,
star/j044200-370824,70.5,-37.14,5.05,
star/j031912+500600,49.8,50.1,5.05,
star/j063824-481312,99.6,-48.22,5.05,
star/j034912+240824,57.3,24.14,5.05,
star/j230936+084048,347.4,8.68,5.05,
star/j051948+335736,79.95,33.96,5.05,
star/j105924+402548,164.84999,40.43,5.05,
star/j232024+052248,350.1,5.38,5.05,
star/j050448-493448,76.2,-49.58,5.05,
star/j234800+674836,357.0,67.81,5.05,
star/j075212-344236,118.049995,-34.71,5.05,
star/j221124+592436,332.85,59.41,5.05,
star/j052248+791348,80.700005,79.23,5.05,
star/j235212+190712,358.05002,19.12,5.06,
star/j171048-443336,257.7,-44.56,5.06,
star/j203824+240712,309.59998,24.12,5.06,
star/j051536-265624,78.9,-26.94,5.06,
star/j211312-700748,318.3,-70.13,5.06,
star/j200112+500600,300.30002,50.1,5.06,
star/j100600-472212,151.5,-47.37,5.06,
star/j194048+453112,295.2,45.52,5.06,
star/j061200-063300,93.0,-6.55,5.06,
star/j034200+631312,55.5,63.22,5.06,
star/j060900-685024,92.25,-68.84,5.06,
star/j110036+391236,165.15001,39.21,5.06,
star/j194236-160712,295.65,-16.12,5.06,
star/j081836-653636,124.65001,-65.61,5.06,
star/j062812-044536,97.049995,-4.76,5.06,
star/j052136-244612,80.4,-24.77,5.06,
star/j142212-800636,215.55,-80.11,5.06,
star/j031236-011200,48.15,-1.2,5.06,
star/j205136-513636,312.90002,-51.61,5.06,
star/j073412-232812,113.55,-23.47,5.06,
star/j074312-451012,115.799995,-45.17,5.06,
star/j204948+440336,312.45,44.06,5.06,
star/j072924+280712,112.35,28.12,5.07,
star/j183148-454536,277.95,-45.76,5.07,
star/j171536-263524,258.9,-26.59,5.07,
star/j220524+621648,331.35,62.28,5.07,
star/j103448+065700,158.7,6.95,5.07,
star/j071312+160936,108.299995,16.16,5.07,
star/j214948+301012,327.45,30.17,5.07,
star/j203900+100524,309.75,10.09,5.07,
star/j052436-005324,81.149994,-0.89,5.07,
star/j074724-383036,116.85,-38.51,5.07,
star/j094012-141948,145.05,-14.33,5.07,
star/j065812-340636,104.549995,-34.11,5.07,
star/j095248-080600,148.2,-8.1,5.07,
star/j113148-592624,172.95,-59.44,5.07,
star/j093148+094312,142.95,9.72,5.07,
star/j043036-445700,67.65,-44.95,5.07,
star/j170936+404648,257.4,40.78,5.07,
star/j173148+680748,262.95,68.13,5.07,
star/j163600+525512,249.0,52.92,5.07,
star/j190712+110412,286.80002,11.07,5.07,
star/j093336-805624,143.40001,-80.94,5.07,
star/j044012+530448,70.05,53.08,5.07,
star/j004912+165624,12.3,16.94,5.07,
star/j103412-234500,158.54999,-23.75,5.08,
star/j215324-133300,328.34998,-13.55,5.08,
star/j045136+185024,72.9,18.84,5.08,
star/j185436-153600,283.65,-15.6,5.08,
star/j082736-530524,126.9,-53.09,5.08,
star/j103000-003824,157.5,-0.64,5.08,
star/j003600+541012,9.0,54.17,5.08,
star/j061012-744500,92.55,-74.75,5.08,
star/j034800+110824,57.0,11.14,5.08,
star/j223600+733824,339.0,73.64,5.08,
star/j103636-593336,159.15,-59.56,5.08,
star/j145700-624648,224.25,-62.78,5.08,
star/j112324-184648,170.85,-18.78,5.08,
star/j202736-181236,306.9,-18.21,5.08,
star/j075736-440636,119.4,-44.11,5.08,
star/j043900+154800,69.75,15.8,5.08,
star/j104312+231124,160.8,23.19,5.08,
star/j052736+342848,81.9,34.48,5.08,
star/j200636+233636,301.65002,23.61,5.08,
star/j125436-571012,193.65,-57.17,5.08,
star/j064724-090000,101.85,-9.0,5.08,
star/j234312+101948,355.8,10.33,5.09,
star/j094836+460112,147.15001,46.02,5.09,
star/j221948-802624,334.95,-80.44,5.09,
star/j174836+253712,267.15,25.62,5.09,
star/j155100-030524,237.75,-3.09,5.09,
star/j220600+450036,331.5,45.01,5.09,
star/j072212+202624,110.549995,20.44,5.09,
star/j004836-745512,12.15,-74.92,5.09,
star/j015736+174912,29.400002,17.82,5.09,
star/j094648+570748,146.7,57.13,5.09,
star/j072624-510112,111.6,-51.02,5.09,
star/j063336-011312,98.4,-1.22,5.09,
star/j092624-532248,141.59999,-53.38,5.09,
star/j050036+811124,75.15,81.19,5.09,
star/j200524+195924,301.35,19.99,5.09,
star/j180712+303336,271.80002,30.56,5.09,
star/j033000+552700,52.5,55.45,5.09,
star/j232248+121836,350.69998,12.31,5.09,
star/j085024-463148,132.6,-46.53,5.09,
star/j112324-645700,170.85,-64.95,5.09,
star/j081348-361912,123.45,-36.32,5.09,
star/j141236-271536,213.15,-27.26,5.09,
star/j094948-454348,147.45,-45.73,5.09,
star/j161048-292512,242.70001,-29.42,5.09,
star/j215248+255548,328.19998,25.93,5.09,
star/j182212-383936,275.55002,-38.66,5.09,
star/j075848-231836,119.7,-23.31,5.09,
star/j121612+145400,184.05,14.9,5.09,
star/j214012+431612,325.05,43.27,5.09,
star/j025700+315548,44.25,31.93,5.1,
star/j032248+204424,50.7,20.74,5.1,
star/j160112+174912,240.3,17.82,5.1,
star/j164648-670636,251.70001,-67.11,5.1,
star/j214500-090448,326.25,-9.08,5.1,
star/j172400-440936,261.0,-44.16,5.1,
star/j204836-435924,312.15,-43.99,5.1,
star/j131648-313036,199.2,-31.51,5.1,
star/j142400+054912,216.0,5.82,5.1,
star/j042400+092736,66.0,9.46,5.1,
star/j041012+804200,62.550003,80.7,5.1,
star/j180900+200300,272.25,20.05,5.1,
star/j144612-252624,221.55,-25.44,5.1,
star/j054948-665400,87.45,-66.9,5.1,
star/j114836-264500,177.15001,-26.75,5.1,
star/j191836+010524,289.65,1.09,5.1,
star/j210412-195100,316.05,-19.85,5.1,
star/j213936+021424,324.9,2.24,5.1,
star/j230000+565700,345.0,56.95,5.1,
star/j235212-820112,358.05002,-82.02,5.1,
star/j182400+393036,276.0,39.51,5.11,
star/j110824-615700,167.1,-61.95,5.11,
star/j132624-394500,201.59999,-39.75,5.11,
star/j224348+414912,340.94998,41.82,5.11,
star/j223824+564800,339.59998,56.8,5.11,
star/j171536-263600,258.9,-26.6,5.11,
star/j231012-222736,347.55,-22.46,5.11,
star/j012924-213748,22.35,-21.63,5.11,
star/j065400+685324,103.5,68.89,5.11,
star/j071836-364424,109.65,-36.74,5.11,
star/j184348-381912,280.94998,-38.32,5.11,
star/j195100+102512,297.75,10.42,5.11,
star/j215624+633748,329.1,63.63,5.11,
star/j155512-683600,238.8,-68.6,5.11,
star/j050900-042736,77.25,-4.46,5.11,
star/j211424+100036,318.6,10.01,5.11,
star/j221612-413748,334.05002,-41.63,5.11,
star/j035324-344348,58.350002,-34.73,5.11,
star/j230336-344500,345.9,-34.75,5.11,
star/j183112-182400,277.80002,-18.4,5.12,
star/j015436-423000,28.65,-42.5,5.12,
star/j105324+543524,163.35,54.59,5.12,
star/j113148-593112,172.95,-59.52,5.12,
star/j193036+275812,292.65,27.97,5.12,
star/j182100+285212,275.25,28.87,5.12,
star/j093336-490036,143.40001,-49.01,5.12,
star/j183448-105848,278.7,-10.98,5.12,
star/j204012-603300,310.05,-60.55,5.12,
star/j203412-443112,308.55,-44.52,5.12,
star/j030336-594424,45.899998,-59.74,5.12,
star/j091612-441612,139.05,-44.27,5.12,
star/j074348-405548,115.95,-40.93,5.12,
star/j104200+654312,160.5,65.72,5.12,
star/j222136-213600,335.40002,-21.6,5.12,
star/j075136+014612,117.9,1.77,5.12,
star/j050636-043936,76.65,-4.66,5.12,
star/j071048-485548,107.7,-48.93,5.12,
star/j072212+364536,110.549995,36.76,5.12,
star/j193524-103336,293.85,-10.56,5.12,
star/j124648+163448,191.7,16.58,5.12,
star/j123600-410112,189.0,-41.02,5.12,
star/j032436+643524,51.15,64.59,5.13,
star/j210448-770112,316.2,-77.02,5.13,
star/j001424-074648,3.6,-7.78,5.13,
star/j113300-310524,173.25,-31.09,5.13,
star/j150524-410412,226.35,-41.07,5.13,
star/j053524-052324-2,83.850006,-5.39,5.13,
star/j011800+033636,19.5,3.61,5.13,
star/j064948-463712,102.45,-46.62,5.13,
star/j191124+565136,287.85,56.86,5.13,
star/j022812-334836,37.05,-33.81,5.13,
star/j140748+435100,211.95,43.85,5.13,
star/j082548+073336,126.450005,7.56,5.13,
star/j235848-524500,359.69998,-52.75,5.13,
star/j151424+672100,228.59999,67.35,5.13,
star/j172100+243000,260.25,24.5,5.13,
star/j153448-280300,233.7,-28.05,5.13,
star/j190900+763336,287.25,76.56,5.13,
star/j161500-472212,243.75,-47.37,5.13,
star/j000148-030148,0.45,-3.03,5.13,
star/j091424+612512,138.59999,61.42,5.13,
star/j104648-564536,161.7,-56.76,5.14,
star/j070036-512400,105.15,-51.4,5.14,
star/j080448+130712,121.2,13.12,5.14,
star/j121200+773712,183.0,77.62,5.14,
star/j192512+194800,291.3,19.8,5.14,
star/j081348-465924,123.45,-46.99,5.14,
star/j112848-424012,172.2,-42.67,5.14,
star/j141948-021612,214.95,-2.27,5.14,
star/j070336+105700,105.9,10.95,5.14,
star/j081948+271312,124.95,27.22,5.14,
star/j201836+345848,304.65,34.98,5.14,
star/j153524+390036,233.85,39.01,5.14,
star/j075736-453448,119.4,-45.58,5.14,
star/j003636+442924,9.150001,44.49,5.14,
star/j155700-335812,239.25,-33.97,5.14,
star/j073712-040636,114.299995,-4.11,5.14,
star/j070412-564500,106.05,-56.75,5.14,
star/j060336+194124,90.9,19.69,5.14,
star/j174424-514948,266.1,-51.83,5.14,
star/j171800-241724,259.5,-24.29,5.14,
star/j191348+021724,288.44998,2.29,5.14,
star/j065100+673412,102.75,67.57,5.14,
star/j185848-601200,284.69998,-60.2,5.14,
star/j033036+112024,52.65,11.34,5.14,
star/j204200-664536,310.5,-66.76,5.14,
star/j122100-133412,185.25,-13.57,5.14,
star/j052624-585436,81.6,-58.91,5.14,
star/j230224+424536,345.6,42.76,5.14,
star/j074724+332512,116.85,33.42,5.14,
star/j113712-611648,174.3,-61.28,5.14,
star/j011424-075512,18.6,-7.92,5.14,
star/j034948+330524,57.449997,33.09,5.14,
star/j195324+573112,298.34998,57.52,5.14,
star/j131800+494048,199.5,49.68,5.14,
star/j095736+410336,149.4,41.06,5.14,
star/j120336-422548,180.90001,-42.43,5.15,
star/j122212-673112,185.55,-67.52,5.15,
star/j101348-662212,153.45,-66.37,5.15,
star/j231200+084312,348.0,8.72,5.15,
star/j011124+312512,17.85,31.42,5.15,
star/j113824-614948,174.6,-61.83,5.15,
star/j085212+434348,133.05,43.73,5.15,
star/j020148-444236,30.449999,-44.71,5.15,
star/j204648+160712-2,311.7,16.12,5.15,
star/j203936+002924,309.9,0.49,5.15,
star/j090824+665212,137.1,66.87,5.15,
star/j164536+083448,251.40001,8.58,5.15,
star/j094312+721500,145.8,72.25,5.15,
star/j074648+373112,116.700005,37.52,5.15,
star/j134648-361500,206.7,-36.25,5.15,
star/j204012-180824,310.05,-18.14,5.15,
star/j023224+360900,38.1,36.15,5.15,
star/j152848+015024,232.2,1.84,5.15,
star/j200000+370224,300.0,37.04,5.15,
star/j084348-494912,130.95,-49.82,5.15,
star/j110712-423824,166.8,-42.64,5.15,
star/j145024-160000,222.6,-16.0,5.15,
star/j130748-104424,196.95,-10.74,5.15,
star/j061724-164912,94.35,-16.82,5.15,
star/j151612-412924,229.05,-41.49,5.15,
star/j055100-520636,87.75,-52.11,5.16,
star/j150448-640148,226.2,-64.03,5.16,
star/j225212+095024,343.05002,9.84,5.16,
star/j152548+152548,231.45001,15.43,5.16,
star/j025624-034236,44.100002,-3.71,5.16,
star/j002100+375812,5.25,37.97,5.16,
star/j063112-122324,97.8,-12.39,5.16,
star/j103524+570448,158.85,57.08,5.16,
star/j081500-625512,123.75,-62.92,5.16,
star/j214124-140300,325.35,-14.05,5.16,
star/j090936+220300,137.4,22.05,5.16,
star/j031836+501312,49.649998,50.22,5.16,
star/j153412-091048,233.54999,-9.18,5.16,
star/j135436-013000,208.65,-1.5,5.16,
star/j183224-394200,278.1,-39.7,5.16,
star/j022212+555100,35.55,55.85,5.16,
star/j192512+115624,291.3,11.94,5.16,
star/j085924-590448,134.84999,-59.08,5.16,
star/j212248+064836,320.69998,6.81,5.16,
star/j122436+260600,186.15,26.1,5.17,
star/j112548-635812,171.45001,-63.97,5.17,
star/j211536-203900,318.9,-20.65,5.17,
star/j085848-471348,134.7,-47.23,5.17,
star/j070000-675512,105.0,-67.92,5.17,
star/j074948-171348,117.45,-17.23,5.17,
star/j125700-511200,194.25,-51.2,5.17,
star/j190636-522024,286.65002,-52.34,5.17,
star/j131012+173148-2,197.55,17.53,5.17,
star/j120748-752212,181.95,-75.37,5.17,
star/j192624+361912,291.6,36.32,5.17,
star/j010824+545512,17.1,54.92,5.17,
star/j193636+444200,294.15002,44.7,5.17,
star/j175324+400036,268.34998,40.01,5.17,
star/j124124-130036,190.34999,-13.01,5.17,
star/j024500+122700,41.25,12.45,5.17,
star/j235136-185436,357.90002,-18.91,5.17,
star/j042324-034500,65.85,-3.75,5.17,
star/j210524-544348,316.35,-54.73,5.17,
star/j005024-103824,12.599999,-10.64,5.17,
star/j003036-234724,7.6499996,-23.79,5.17,
star/j115548-170900,178.95001,-17.15,5.17,
star/j023748+724912,39.45,72.82,5.17,
star/j193900+052400,294.75,5.4,5.18,
star/j201536+233036,303.9,23.51,5.18,
star/j084012-530300,130.05,-53.05,5.18,
star/j234724-501348,356.85,-50.23,5.18,
star/j082548-514348,126.450005,-51.73,5.18,
star/j053936+255400,84.899994,25.9,5.18,
star/j040636+273600,61.65,27.6,5.18,
star/j054612-321836,86.55,-32.31,5.18,
star/j141200+692548,213.0,69.43,5.18,
star/j072436-161200,111.149994,-16.2,5.18,
star/j145548-600636,223.95001,-60.11,5.18,
star/j051124+160300,77.85,16.05,5.18,
star/j082136-362848,125.399994,-36.48,5.18,
star/j203148+745700,307.95,74.95,5.18,
star/j002136-285848,5.4,-28.98,5.18,
star/j104348+461200,160.95,46.2,5.18,
star/j195024+384312,297.6,38.72,5.18,
star/j045436+112548,73.649994,11.43,5.18,
star/j111724+020036,169.35,2.01,5.18,
star/j053148-762024,82.950005,-76.34,5.18,
star/j214312+721912,325.8,72.32,5.18,
star/j014312+703712,25.800001,70.62,5.18,
star/j185248-520636,283.19998,-52.11,5.18,
star/j002812+442324,7.05,44.39,5.18,
star/j223824+633448,339.59998,63.58,5.19,
star/j022436+500036,36.15,50.01,5.19,
star/j084948-324648,132.45,-32.78,5.19,
star/j113600+691912,174.0,69.32,5.19,
star/j062700+001800,96.75,0.3,5.19,
star/j060412-064236,91.05,-6.71,5.19,
star/j163036-613748,247.65001,-61.63,5.19,
star/j083900-702324,129.75,-70.39,5.19,
star/j232248-150224,350.69998,-15.04,5.19,
star/j172548-503748,261.45,-50.63,5.19,
star/j201424+284124,303.6,28.69,5.19,
star/j205548+134312,313.95,13.72,5.19,
star/j154648+623600,236.7,62.6,5.19,
star/j150636-161536,226.65,-16.26,5.19,
star/j102924-024424,157.34999,-2.74,5.19,
star/j150336+473900,225.90001,47.65,5.19,
star/j050748-632400,76.950005,-63.4,5.19,
star/j211912+645212,319.8,64.87,5.19,
star/j075924-603524,119.85,-60.59,5.19,
star/j162212+334800,245.55002,33.8,5.2,
star/j130600+354800,196.5,35.8,5.2,
star/j135848-245812,209.7,-24.97,5.2,
star/j184800-402436,282.0,-40.41,5.2,
star/j080936-440712,122.399994,-44.12,5.2,
star/j210636-322024,316.65002,-32.34,5.2,
star/j114200-323000,175.5,-32.5,5.2,
star/j084012-401536,130.05,-40.26,5.2,
star/j231912-132736,349.8,-13.46,5.2,
star/j043412-081348,68.55,-8.23,5.2,
star/j190712+323000,286.80002,32.5,5.2,
star/j072736+212700,111.9,21.45,5.2,
star/j064236+173900,100.65,17.65,5.2,
star/j122024-221312,185.1,-22.22,5.2,
star/j022248-234912,35.7,-23.82,5.2,
star/j084200-452436,130.5,-45.41,5.2,
star/j070224+241312,105.6,24.22,5.2,
star/j041648+533636,64.200005,53.61,5.2,
star/j055512+595324,88.8,59.89,5.2,
star/j071612+593824,109.05,59.64,5.2,
star/j062924-565100,97.35,-56.85,5.2,
star/j061500+190936,93.75,19.16,5.2,
star/j003000+294500,7.5,29.75,5.2,
star/j182700+001200,276.75,0.2,5.2,
star/j131648+092512,199.2,9.42,5.2,
star/j223448-204236,338.7,-20.71,5.2,
star/j070412-422024,106.05,-42.34,5.2,
star/j011348+073448,18.45,7.58,5.21,
star/j062400-113148,96.0,-11.53,5.21,
star/j112512-360336,171.3,-36.06,5.21,
star/j064200-091012,100.5,-9.17,5.21,
star/j040712+290000,61.8,29.0,5.21,
star/j024048-543300,40.2,-54.55,5.21,
star/j055848+003300,89.7,0.55,5.21,
star/j010748-412924,16.95,-41.49,5.21,
star/j062700+582512,96.75,58.42,5.21,
star/j133300-100936,203.25,-10.16,5.21,
star/j210636+384424,316.65002,38.74,5.21,
star/j155024+021200,237.6,2.2,5.21,
star/j172324-472812,260.84998,-47.47,5.21,
star/j075924-391800,119.85,-39.3,5.22,
star/j041424+100036,63.6,10.01,5.22,
star/j025848-024648,44.7,-2.78,5.22,
star/j212924+463224,322.35,46.54,5.22,
star/j120224+430300,180.6,43.05,5.22,
star/j063148+113224,97.950005,11.54,5.22,
star/j111236-641012,168.15,-64.17,5.22,
star/j014236+201612,25.650002,20.27,5.22,
star/j085700+151912,134.25,15.32,5.22,
star/j112624-610712,171.59999,-61.12,5.22,
star/j141948-611612,214.95,-61.27,5.22,
star/j064724+484724,101.85,48.79,5.22,
star/j184948+323300,282.45,32.55,5.22,
star/j070148-054312,105.450005,-5.72,5.22,
star/j233112+391424,352.80002,39.24,5.22,
star/j200112+644912,300.30002,64.82,5.22,
star/j043748-022812,69.450005,-2.47,5.22,
star/j131612-195624,199.05,-19.94,5.22,
star/j124536+074012,191.40001,7.67,5.22,
star/j050600+585812,76.5,58.97,5.22,
star/j052136+414800,80.4,41.8,5.22,
star/j074724-463636,116.85,-46.61,5.22,
star/j072812+065624,112.049995,6.94,5.22,
star/j164800+051500,251.99998,5.25,5.22,
star/j144648-522248,221.7,-52.38,5.22,
star/j192248+261536,290.69998,26.26,5.22,
star/j020524+760712,31.349998,76.12,5.22,
star/j012100+284424,20.25,28.74,5.23,
star/j085548+275548,133.95001,27.93,5.23,
star/j165136-411348,252.90001,-41.23,5.23,
star/j090748+104012,136.95,10.67,5.23,
star/j154236-372512,235.65,-37.42,5.23,
star/j030636-060524,46.649998,-6.09,5.23,
star/j090148-521124,135.45,-52.19,5.23,
star/j064424-310412,101.1,-31.07,5.23,
star/j104612-641536,161.55,-64.26,5.23,
star/j125512+652624,193.8,65.44,5.23,
star/j200148+245624,300.45,24.94,5.23,
star/j080936-475624,122.399994,-47.94,5.23,
star/j144800-260524,222.0,-26.09,5.23,
star/j190900+060412,287.25,6.07,5.23,
star/j095848-355324,149.7,-35.89,5.23,
star/j085924+322512,134.84999,32.42,5.23,
star/j105324-200824,163.35,-20.14,5.23,
star/j004500-220036,11.25,-22.01,5.23,
star/j072400+404012,111.0,40.67,5.23,
star/j165436-060900,253.65,-6.15,5.23,
star/j180300-081048,270.75,-8.18,5.24,
star/j113824+080748,174.6,8.13,5.24,
star/j234424-181648,356.1,-18.28,5.24,
star/j195700-585400,299.25,-58.9,5.24,
star/j214200-231536,325.5,-23.26,5.24,
star/j224724-193636,341.85,-19.61,5.24,
star/j034424-010936,56.1,-1.16,5.24,
star/j042136-632324,65.4,-63.39,5.24,
star/j031800-623036,49.5,-62.51,5.24,
star/j071836-391236,109.65,-39.21,5.24,
star/j043412-085812,68.55,-8.97,5.24,
star/j091648-062100,139.2,-6.35,5.24,
star/j034724-235212,56.85,-23.87,5.24,
star/j161348-115024,243.45,-11.84,5.24,
star/j162736-073600,246.9,-7.6,5.24,
star/j091424-431348,138.59999,-43.23,5.24,
star/j052324+573224,80.85,57.54,5.24,
star/j150600+543336,226.5,54.56,5.24,
star/j182436-440636,276.15,-44.11,5.24,
star/j064648+433448,101.700005,43.58,5.24,
star/j203900-145700,309.75,-14.95,5.24,
star/j073148+015436,112.950005,1.91,5.24,
star/j083748-261500,129.45,-26.25,5.24,
star/j221200+565024,333.0,56.84,5.24,
star/j005024-505924,12.599999,-50.99,5.24,
star/j030036+522100,45.15,52.35,5.24,
star/j163036+202848,247.65001,20.48,5.24,
star/j033600-172812,54.0,-17.47,5.24,
star/j205848+041724,314.69998,4.29,5.24,
star/j035024+253448,57.6,25.58,5.24,
star/j053524-045136,83.850006,-4.86,5.24,
star/j184948-201912,282.45,-20.32,5.24,
star/j131124-432212,197.84999,-43.37,5.24,
star/j230336+671236,345.9,67.21,5.25,
star/j182248+174948,275.69998,17.83,5.25,
star/j080412-324012,121.049995,-32.67,5.25,
star/j014200-321948,25.5,-32.33,5.25,
star/j180224+204948,270.6,20.83,5.25,
star/j224124+401348,340.35,40.23,5.25,
star/j024912-624836,42.3,-62.81,5.25,
star/j173748-543000,264.44998,-54.5,5.25,
star/j190712+360600,286.80002,36.1,5.25,
star/j184536+740524,281.4,74.09,5.25,
star/j211312-392512,318.3,-39.42,5.25,
