Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
M52,Open Cluster,23.40333,61.58333,6.9,13,NGC7654,Cassiopeia,Open Cluster,
M53,Globular Cluster,13.215,18.16667,7.7,12.6,NGC5024,Coma Berenices,Globular Cluster,
M54,Globular Cluster,18.91833,-30.48333,7.7,9.1,NGC6715,Sagittarius,Globular Cluster,
M55,Globular Cluster,19.66667,-30.96667,7,19,NGC6809,Sagittarius,Globular Cluster,
M56,Globular Cluster,19.27667,30.18333,8.3,7.1,NGC6779,Lyra,Globular Cluster,
M57|ring nebula,Nebula,18.89333,33.03333,9,2.5,NGC6720,Lyra,Planetary Nebula,Ring Nebula
M58,Galaxy,12.62833,11.81667,9.8,5.4,NGC4579,Virgo,Spiral Galaxy,
M59,Galaxy,12.7,11.65,9.8,5.1,NGC4621,Virgo,Elliptical Galaxy,
M60,Galaxy,12.72833,11.55,8.8,7.2,NGC4649,Virgo,Elliptical Galaxy,
M61,Galaxy,12.365,4.46667,9.7,6,NGC4303,Virgo,Spiral Galaxy,
M62,Globular Cluster,17.02,-30.11667,6.6,14.1,NGC6266,Ophiuchus,Globular Cluster,
M63,Galaxy,13.26333,42.03333,8.6,12.3,NGC5055,Canes Venaciti,Spiral Galaxy,Sunflower Galaxy
M64,Galaxy,12.945,21.68333,8.5,9.3,NGC4826,Coma Berenices,Spiral Galaxy,Blackeye Galaxy
M65,Galaxy,11.315,13.08333,9.3,10,NGC3623,Leo,Spiral Galaxy,In the Leo Triplett
M66,Galaxy,11.33667,12.98333,9,8.7,NGC3627,Leo,Spiral Galaxy,In the Leo Triplett
M67,Open Cluster,8.84,11.81667,6.9,30,NGC2682,Cancer,Open Cluster,
M68,Globular Cluster,12.65833,-26.75,8.2,12,NGC4590,Hydra,Globular Cluster,
M69,Globular Cluster,18.52333,-32.35,7.7,7.1,NGC6637,Sagittarius,Globular Cluster,
M70,Globular Cluster,18.72,-32.3,8.1,7.8,NGC6681,Sagittarius,Globular Cluster,
M71,Globular Cluster,19.89667,18.78333,8.3,7.2,NGC6838,Sagitta,Globular Cluster,
M72,Globular Cluster,20.89167,-12.53333,9.4,5.9,NGC6981,Aquarius,Globular Cluster,
M73,Open Cluster,20.98333,-12.63333,9,3,NGC6994,Aquarius,Asterism,
M74,Galaxy,1.61167,15.78333,9.2,10.2,NGC628,Pisces,Spiral Galaxy,
M75,Globular Cluster,20.10167,-21.91667,8.6,6,NGC6864,Sagittarius,Globular Cluster,
M76,Nebula,1.705,51.56667,12,4.8,NGC650,Perseus,Planetary Nebula,Little Dumbbell Nebula
M77,Galaxy,2.71167,-0.01667,8.8,6.9,NGC1068,Cetus,Spiral Galaxy,Cetus A
M78,Nebula,5.77833,0.05,8,8,NGC2068,Orion,Diffuse Nebula,
M79,Globular Cluster,5.40833,-24.55,8,8.7,NGC1904,Lepus,Globular Cluster,
M80,Globular Cluster,16.28333,-22.98333,7.2,8.9,NGC6093,Scorpius,Globular Cluster,
M81,Galaxy,9.92667,69.06667,6.9,25.7,NGC3031,Ursa Major,Spiral Galaxy,Bode's Galaxy
M82,Galaxy,9.93,69.68333,8.4,11.2,NGC3034,Ursa Major,Irregular Galaxy,Cigar Galaxy
M83,Galaxy,13.61667,-29.86667,7.6,11.2,NGC5236,Hydra,Spiral Galaxy,Southern Pinwheel
M84,Galaxy,12.41833,12.88333,9.3,5,NGC4374,Virgo,Lenticular Galaxy,
M85,Galaxy,12.42333,18.18333,9.2,7.1,NGC4382,Coma Berenices,Lenticular Galaxy,
M86,Galaxy,12.43667,12.95,9.2,7.4,NGC4406,Virgo,Lenticular Galaxy,
M87,Galaxy,12.51333,12.4,8.6,7.2,NGC4486,Virgo,Elliptical Galaxy,Virgo A
M88,Galaxy,12.53333,14.41667,9.5,6.9,NGC4501,Coma Berenices,Spiral Galaxy,
M89,Galaxy,12.595,12.55,9.8,4.2,NGC4552,Virgo,Elliptical Galaxy,
M90,Galaxy,12.61333,13.16667,9.5,9.5,NGC4569,Virgo,Spiral Galaxy,
M91,Galaxy,12.59,14.5,10.2,5.4,NGC4548,Coma Berenices,Spiral Galaxy,
M92,Globular Cluster,17.285,43.13333,6.5,11.2,NGC6341,Hercules,Globular Cluster,
M93,Open Cluster,7.74333,-23.86667,6.2,22,NGC2447,Puppis,Open Cluster,
M94,Galaxy,12.84833,41.11667,8.2,11,NGC4736,Canes Venaciti,Spiral Galaxy,
M95,Galaxy,10.73333,11.7,9.7,7.4,NGC3351,Leo,Spiral Galaxy,
M96,Galaxy,10.78,11.81667,9.2,7.1,NGC3368,Leo,Spiral Galaxy,
M97,Nebula,11.24667,55.01667,11.2,3.2,NGC3587,Ursa Major,Planetary Nebula,Owl Nebula
M98,Galaxy,12.23,14.9,10.1,9.5,NGC4192,Coma Berenices,Spiral Galaxy,
M99,Galaxy,12.31333,14.41667,9.8,5.4,NGC4254,Coma Berenices,Spiral Galaxy,
M100,Galaxy,12.38167,15.81667,9.4,6.9,NGC4321,Coma Berenices,Spiral Galaxy,
M101|pinwheel_galaxy,Galaxy,14.05333,54.35,7.7,26.9,NGC5457,Ursa Major,Spiral Galaxy,Pinwheel Galaxy
M102,Galaxy,14.05333,54.35,7.7,26.9,NGC5457,Ursa Major,Spiral Galaxy,May duplicate M101
M103,Open Cluster,1.55333,60.7,7.4,6,NGC581,Cassiopeia,Open Cluster,
