object_id,name,is_primary
dso/m95,M95,1
dso/m95,NGC 3351,0
dso/m96,M96,1
dso/m96,NGC 3368,0
dso/m97,M97,1
dso/m97,NGC 3587,0
dso/m98,M98,1
dso/m98,NGC 4192,0
dso/m99,M99,1
dso/m99,NGC 4254,0
dso/n47_tucanae,47 Tuc,0
dso/n47_tucanae,NGC 104,0
dso/ngc_2903,NGC 2903,1
dso/ngc_6543,NGC 6543,0
dso/north_america_nebula,Caldwell 20,0
dso/north_america_nebula,NGC 7000,0
dso/omega_centauri,NGC 5139,0
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,Caldwell 55,0
dso/saturn_nebula,NGC 7009,0
dso/sculptor_galaxy,NGC 253,0
dso/sgr_a_star,Sagittarius A*,0
dso/smc,SMC,0
dso/t_crb,T CrB,0
dso/tarantula_nebula,30 Doradus,0
dso/tarantula_nebula,NGC 2070,0
dso/v838_mon,V838 Mon,1
dso/v838_mon,V838 Monocerotis,0
star/achernar,Alpha Eridani,0
star/achernar,α Eri,0
star/acrux,Alpha1 Crucis,0
star/acrux,α1 Cru,0
star/adhara,21 CMa,0
star/adhara,Epsilon Canis Majoris,0
star/adhara,ε CMa,0
star/alcyone,25 Tau,0
star/alcyone,Eta Tauri,0
star/alcyone,η Tau,0
star/aldebaran,87 Tau,0
star/aldebaran,Alpha Tauri,0
star/aldebaran,α Tau,0
star/alderamin,5 Cep,0
star/alderamin,Alpha Cephei,0
star/alderamin,α Cep,0
star/algenib,88 Peg,0
star/algenib,Gamma Pegasi,0
star/algenib,γ Peg,0
star/algieba,41 Leo,0
star/algieba,Gamma1 Leonis,0
star/algieba,γ1 Leo,0
star/algol,26 Per,0
star/algol,Beta Persei,0
star/algol,β Per,0
star/alhena,24 Gem,0
star/alhena,Gamma Geminorum,0
star/alhena,γ Gem,0
star/alioth,77 UMa,0
star/alioth,Epsilon Ursae Majoris,0
star/alioth,ε UMa,0
star/alkaid,85 UMa,0
star/alkaid,Eta Ursae Majoris,0
star/alkaid,η UMa,0
star/alnair,Alpha Gruis,0
star/alnair,α Gru,0
star/alnath,112 Tau,0
star/alnath,Beta Tauri,0
star/alnath,β Tau,0
star/alnilam,46 Ori,0
star/alnilam,Epsilon Orionis,0
star/alnilam,ε Ori,0
star/alphard,30 Hya,0
star/alphard,Alpha Hydrae,0
star/alphard,α Hya,0
star/alphekka,5 CrB,0
star/alphekka,Alpha Coronae Borealis,0
star/alphekka,α CrB,0
star/alpheratz,21 And,0
star/alpheratz,Alpha Andromedae,0
star/alpheratz,α And,0
star/altair,53 Aql,0
star/altair,Alpha Aquilae,0
star/altair,α Aql,0
star/ankaa,Alpha Phoenicis,0
star/ankaa,α Phe,0
star/antares,21 Sco,0
star/antares,Alpha Scorpii,0
star/antares,α Sco,0
star/arcturus,16 Boo,0
star/arcturus,Alpha Boötis,0
star/arcturus,α Boo,0
star/arneb,11 Lep,0
star/arneb,Alpha Leporis,0
star/arneb,α Lep,0
star/betelgeuse,58 Ori,0
star/betelgeuse,Alpha Orionis,0
star/betelgeuse,α Ori,0
star/canopus,Alpha Carinae,0
star/canopus,α Car,0
star/capella,13 Aur,0
star/capella,Alpha Aurigae,0
star/capella,α Aur,0
star/caph,11 Cas,0
star/caph,Beta Cassiopeiae,0
star/caph,β Cas,0
star/castor,66 Gem,0
star/castor,Alpha Geminorum,0
star/castor,α Gem,0
star/deneb,50 Cyg,0
star/deneb,Alpha Cygni,0
star/deneb,α Cyg,0
star/denebola,94 Leo,0
star/denebola,Beta Leonis,0
star/denebola,β Leo,0
star/diphda,16 Cet,0
star/diphda,Beta Ceti,0
star/diphda,β Cet,0
star/dubhe,50 UMa,0
star/dubhe,Alpha Ursae Majoris,0
star/dubhe,α UMa,0
star/e_lyrae,4 Lyr,0
star/e_lyrae,Epsilon1 Lyrae,0
